Adamow (siedleckie),22.15,51.45
Adamow (zamojskie),23.1,50.36
Adamowka,22.42,50.16
Aleksandrow,19.59,51.16
Aleksandrow Kujawski,18.42,52.53
Aleksandrow lodzki,19.19,51.49
Alwernia,19.32,50.04
Andrespol,19.37,51.44
Andrychow,19.2,49.52
Andrzejewo,22.12,52.5
Annopol,21.52,50.53
Augustow,22.58,53.51
Babiak,18.41,52.2
Babice,19.26,50.04
Babimost,15.5,52.09
Baborow,17.59,50.09
Baboszewo,20.15,52.42
Backowice,21.14,50.48
Bakalarzewo,22.39,54.06
Baligrod,22.17,49.21
Baltow,21.32,51.01
Banie,14.38,53.06
Banie Mazurskie,22.03,54.15
Baranowicze,26.02,53.08
Baranowo,21.18,53.11
Baranow (kaliskie),18,51.16
Baranow (lubelskie),22.09,51.34
Baranow (skierniewickie),20.28,52.07
Baranow Sandomierski,21.33,50.3
Barciany,21.21,54.13
Barcin,17.57,52.52
Barczewo,20.41,53.5
Bardo,16.45,50.31
Barglow Koscielny,22.5,53.46
Barlinek,15.13,52.59
Bartoszyce,20.48,54.15
Baruchowo,19.15,52.3
Barwice,16.21,53.44
Batorz,22.3,50.5
Badkowo,18.47,52.42
Bedlno,19.34,52.13
Bejsce,20.36,50.15
Belsk Duzy,20.49,51.5
Belchatow,19.22,51.22
Belzyce,22.17,51.1
Bestwina,19.03,49.54
Bedkow,19.45,51.35
Bedzin,19.08,50.19
Bedzino,15.59,54.12
Biala (opolskie),17.4,50.23
Biala (sieradzkie),18.27,51.16
Biala Piska,22.04,53.37
Biala Podlaska,23.07,52.02
Biala Rawska,20.29,51.48
Bialaczow,20.18,51.18
Biale Blota,17.55,53.06
Bialobrzegi (rzeszow.),22.21,50.07
Bialobrzegi (radomskie),20.57,51.39
Bialogard,15.59,54
Bialopole,23.44,50.59
Bialosliwie,17.07,53.06
Bialowieza,23.52,52.42
Bialy Bor,16.5,53.44
Bialy Dunajec,20.02,49.22
Bialystok,23.1,53.08
Biecz,21.16,49.44
Bielany,22.15,52.2
Bielawa,16.37,50.42
Bielawy,19.39,52.04
Bielice,14.43,53.12
Bieliny,20.55,50.51
Bielsk,19.48,52.41
Bielsk Podlaski,23.12,52.46
Bielsko-Biala,19.04,49.5
Bierawa,18.16,50.17
Bierutow,17.33,51.07
Bierzwnik,15.4,53.02
Biesiekierz,16.03,54.08
Biezun,19.52,52.57
Bilgoraj,22.43,50.32
Bircza,22.28,49.42
Biskupice,20.07,49.58
Biskupiec (torunskie),19.21,53.3
Biskupiec (olsztynskie),20.57,53.52
Biszcza,22.38,50.25
Bisztynek,20.54,54.05
Blachownia,18.58,50.47
Bledzew,15.24,52.31
Blizanow,18.01,51.54
Blizyn,20.45,51.06
Blaszki,18.26,51.39
Blazowa,22.06,49.54
Bledow,20.42,51.47
Blonie,20.36,52.12
Bobolice,16.35,53.57
Bobowa,20.57,49.43
Bobrowice,15.05,51.57
Bobrowniki (katowickie),18.59,50.23
Bobrowniki (wloclawskie),18.58,52.46
Bobrowo,19.16,53.17
Bochnia,20.25,49.58
Bocki,23.02,52.39
Bodzanow,20.02,52.31
Bodzechow,21.23,50.51
Bodzentyn,20.57,50.57
Bogatynia,14.57,50.54
Bogdaniec,15.03,52.41
Bogoria,21.15,50.39
Boguchwala,21.57,49.59
Boguszow-Gorce,16.12,50.46
Boguty-Pianki,22.25,52.43
Bojadla,15.49,51.57
Bojanowo,16.45,51.42
Bojanow,21.57,50.26
Boleslaw,20.53,50.16
Boleslawiec (kaliskie),18.12,51.12
Boleslawiec (jeleniog.),15.34,51.16
